name,quadrant,ring,isNew,description
GraalVM,Platforms,Assess,TRUE,"<p><strong><a href=""https://www.graalvm.org/"">GraalVM</a></strong> is a universal virtual machine by Oracle for running applications written in JVM languages, JavaScript, Python, Ruby and R, as well as C/C++ and other LLVM-based languages. At its simplest, GraalVM can be used as a more performant VM for JVM and other supported non-JVM languages. But it also allows us to write polyglot applications with very little performance impact; and its <a href=""https://www.graalvm.org/docs/reference-manual/native-image/"">Native Image</a> utility (currently only available as an <a href=""https://docs.oracle.com/en/graalvm/enterprise/19/guide/overview/license/licensing-information.html"">Early Adopter Technology</a>) lets us compile Java code ahead of time to stand-alone executables for faster startup and less memory use. GraalVM has generated a lot of excitement in the Java community, and a host of Java frameworks (including <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/micronaut"">Micronaut</a>, <a href=""https://quarkus.io/"">Quarkus</a>, and <a href=""https://helidon.io/#/"">Helidon</a>) are already taking advantage of it.</p>"
Hydra,Platforms,Assess,TRUE,"<p>Not everyone needs a self-hosted OAuth2 solution, but if you do, we found <strong><a href=""https://www.ory.sh/hydra/"">Hydra</a></strong> — a fully compliant open-source OAuth2 server and OpenID connect provider — quite useful. We really like that Hydra doesn't provide any identity management solutions out of the box; so no matter what flavor of identity management you have, it's possible to integrate it with Hydra through a clean API. This clear separation of identity from the rest of the OAuth2 framework makes it easier to integrate Hydra with an existing authentication ecosystem.</p>"
Kuma,Platforms,Assess,TRUE,"<p><strong><a href=""https://kuma.io"">Kuma</a></strong> is a platform-agnostic <a href=""https://www.thoughtworks.com/radar/techniques/service-mesh"">service mesh</a> for <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a>, VMs and bare metal environments. Kuma is implemented as a control plane on top of <a href=""https://www.envoyproxy.io/"">Envoy</a> and as such can instrument any Layer 4/Layer 7 traffic to secure, observe, route and enhance connectivity between services. Most of the service mesh implementations are targeted natively at the Kubernetes ecosystem which in itself is not bad but hinders the adoption of service mesh for existing non-Kubernetes applications. Rather than waiting for large platform transformation efforts to be complete, you can now use Kuma and modernize the network infrastructure.</p>"
MicroK8s,Platforms,Assess,TRUE,"<p>We talked about <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a> in the past and it continues to be the default choice for deploying and managing containers in production clusters. However, it's getting increasingly difficult to provide a similar experience offline for developers. Among other options, we've found <strong><a href=""https://microk8s.io/"">MicroK8s</a></strong> to be quite useful. To install the <a href=""https://snapcraft.io/microk8s"">MicroK8s snap</a>, pick a release channel (stable, candidate, beta or edge), and you can get Kubernetes running with a few commands. You can also keep track of mainstream releases and choose to upgrade your setup automatically.</p>"
Oculus Quest,Platforms,Assess,TRUE,"<p>We've long tracked AR/VR (Augmented/Virtual Reality) in our Radar, but its appeal has been limited to specific platforms and tethering options. The <strong>Oculus Quest</strong> changes the game, becoming one of the first consumer mass-market standalone VR headsets that requires no tethering or support outside a smartphone. This device opens the door for a huge jump in potential exposure to VR applications, whose demand will in turn drive the market toward more aggressive innovation. We applaud the democratization of VR this device helps usher in and can't wait to see what's on the horizon.</p>"
ONNX,Platforms,Assess,TRUE,"<p>The tools and frameworks ecosystem around neural networks have been evolving rapidly. The interoperability between them, however, has been a challenge. It's not uncommon in the ML industry to quickly prototype and train the model in one tool and then deploy it in a different tool for inference. Because the internal format of these tools aren't compatible, we need to implement and maintain messy convertors to make the models compatible. The Open Neural Network Exchange format <strong><a href=""https://onnx.ai/"">ONNX</a></strong>  addresses this problem. In ONNX, the neural networks are represented as graphs using standard operator specifications, and together with a serialization format for trained weights, neural network models can be <a href=""https://onnx.ai/supported-tools"">transferred from one tool to another</a>. This opens up lots of possibilities, including <a href=""https://github.com/onnx/models"">Model Zoo</a>, a collection of pretrained models in ONNX format.</p>"
Rootless containers,Platforms,Assess,TRUE,"<p>Ideally, containers should be managed and run by the respective container runtime without root privileges. This is not trivial but when achieved, it reduces the attack surface and avoids whole classes of security problems, notably privilege escalation out of the container. The community has discussed this as <strong>rootless containers</strong> for quite a while, and it is part of the open container runtime specification and its standard implementation <a href=""https://github.com/opencontainers/runc#rootless-containers"">runc</a>, which underpins <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a>. Now, Docker 19.03 introduces rootless containers as an experimental feature. Although fully functional, the feature doesn't yet work with several other features such as cgroups resource controls and <a href=""https://wiki.ubuntu.com/AppArmor"">AppArmor</a> security profiles.</p>"
Snowflake,Platforms,Assess,TRUE,"<p>We often relate data warehousing to a central infrastructure that is hard to scale and manage with the growing demands around data. <strong><a href=""https://www.snowflake.com"">Snowflake</a></strong>, however, is a new SQL Data Warehouse as a Service solution built from the ground up for the cloud. With a bunch of neatly crafted features such as database-level atomicity, structured and semi-structured data support, in-database analytics functions and above all with a clear separation of storage, compute and services layer, Snowflake addresses most of the challenges faced in data warehousing.</p>"
Teleport,Platforms,Assess,TRUE,"<p><strong><a href=""https://gravitational.com/teleport/"">Teleport</a></strong> is a security gateway for remotely accessing cloud native infrastructures. One of Teleport's interesting <a href=""https://gravitational.com/teleport/features/"">features</a> is its ability to double as a Certificate Authority (CA) for your infrastructure. You can issue short-lived certificates and build richer role-based access control (RBAC) for your <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a> infrastructure (or for just SSH). With increased focus on infrastructure security it's important to keep track of changes. However, not all events require the same level of auditing. With Teleport you can stick with logging for most of the events but go the extra mile by recording the user screen for more privileged root sessions.</p>"
Commitizen,Tools,Adopt,TRUE,"<p><strong><a href=""http://commitizen.github.io/cz-cli/"">Commitizen</a></strong> is a simple tool to help streamline the commit process when using Git. It prompts you to provide any required fields and also formats your commit message appropriately. It supports different conventions for describing the required check-in formats, and you can add your own via an adapter. This simple tool saves time and avoids later rejections from a commit hook.</p>"
ESLint,Tools,Adopt,TRUE,"<p><strong><a href=""https://eslint.org/"">ESLint</a></strong> is being used as a standard in many of our projects. As a linting tool for JavaScript it has multiple rule sets, recommended rules and plugins in order to extend to frameworks or JavaScript flavors. We've seen it leveraged heavily to help teams create and enforce norms in their code by allowing for real-time analysis of code during development. It can be used to standardize coding practices by enforcing best practices and code styling, and identify vulnerabilities in your code. It does so by integrating well with most IDEs and giving live feedback while coding. It's styling rules in particular will automatically fix the linting errors, making the process seamless and effective without incurring additional development cost. Developers can quickly get up to speed with the rules thanks to the community documentation, which does a good job of explaining coding patterns.  As ESLint becomes more common and powerful, it has gained traction in the industry, and this is illustrated by the <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/typescript"">TypeScript</a> team's move to support and work with ESLint rather than investing in TSLint.</p>"
React Styleguidist,Tools,Adopt,TRUE,"<p><strong><a href=""https://github.com/styleguidist/react-styleguidist"">React Styleguidist</a></strong> is a development environment for React components. It includes a dev server with hot reloading capabilities and generates an HTML style guide for sharing with teams. The style guide shows a live version of all components in one place with documentation and a list of their props. We've mentioned React Styleguidist as a <a href=""https://www.thoughtworks.com/radar/tools/ui-dev-environments"">UI dev environment</a> before, and over time it has become our default choice among similar tools in this space.</p>"
Bitrise,Tools,Trial,TRUE,"<p>Building, testing and deploying mobile applications entails complex steps, especially when we consider a pipeline from source code repository to app stores. All of these steps can be automated with scripts and build pipelines in generic CI/CD tools. However, our teams have found <strong><a href=""https://www.bitrise.io"">Bitrise</a></strong>, a domain-specific CD tool for mobile applications, useful for mobile applications when there was no need to integrate with build pipelines for back-end systems. Bitrise is easy to set up and provides a comprehensive set of prebuilt steps for most mobile development needs.</p>"
Dependabot,Tools,Trial,TRUE,"<p>Keeping dependencies up to date is a chore, but for security reasons it's important to respond to updates in a timely manner. You can use tools to make this process as painless and automated as possible. In practical use our teams have had good experiences with <strong><a href=""http://dependabot.com/"">Dependabot</a></strong>. It integrates with GitHub repositories and automatically checks dependencies for new versions. When required, Dependabot will open a pull request with upgraded dependencies.</p>"
Detekt,Tools,Trial,TRUE,"<p><strong><a href=""https://github.com/arturbosch/detekt"">Detekt</a></strong> is a static code analysis tool for <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/kotlin"">Kotlin</a>. It provides code smell analysis and complexity reports based on highly configurable rule sets. It can be run from the command line and, using plugins, via <a href=""https://www.thoughtworks.com/radar/tools/gradle"">Gradle</a>, <a href=""https://www.sonarqube.org/"">SonarQube</a> and IntelliJ. Our teams have found great value in using Detekt to maintain high code quality. When analysis and report generation are integrated into a build pipeline, it's obviously important that the reports are checked on a regular basis and the team sets aside time to act on the findings.</p>"
Figma,Tools,Trial,TRUE,"<p>One of the great pain points in interaction and visual design is the lack of tools built for collaboration. This is where <strong><a href=""https://www.figma.com/"">Figma</a></strong> comes in. It has the same functionalities of design programs such as Sketch and Invision, but by being able to collaborate with another person at the same time, it helps you discover new ideas together with real-time collaboration capabilities. Our teams find Figma very useful, especially in remote and distributed design work enablement and facilitation. In addition to its collaboration capabilities, Figma also offers an API that helps to improve the <a href=""https://www.thoughtworks.com/radar/techniques/designops"">DesignOps</a> process.</p>"
Jib,Tools,Trial,TRUE,"<p>Building containerized applications can require complex configurations in development environments and on build agents. If you're building a Java application and use Docker, you might consider using Google's <strong><a href=""https://github.com/GoogleContainerTools/jib"">Jib</a></strong>. Jib is an open-source plugin supporting both Maven and Gradle. The Jib plugin uses information from your build config to build your application directly as a Docker image without requiring a Dockerfile or Docker daemon. Jib optimizes around image layering, promising to speed up subsequent builds.</p>"
Loki,Tools,Trial,TRUE,"<p><strong><a href=""https://loki.js.org"">Loki</a></strong> is a visual regression tool that works with <a href=""https://storybook.js.org/"">Storybook</a>, which we mentioned previously in the context of <a href=""https://www.thoughtworks.com/radar/tools/ui-dev-environments"">UI dev environments</a>. With a few lines of configuration, Loki can be used to test all UI components. The preferred mode of operation is using Chrome in a Docker container as this avoids one-pixel differences when tests are run in nonidentical environments. Our experience has been that the tests are very stable, but updates to Storybook tend to cause tests to fail with minor differences. It also seems impossible to test components which use <code>position: fixed</code> but you can work around that by wrapping the component with a <code>fixed</code>.</p>"
Trivy,Tools,Trial,TRUE,"<p>Build pipelines that create and deploy containers should include <a href=""https://www.thoughtworks.com/radar/techniques/container-security-scanning"">container security scanning</a>. Our teams particularly like <strong><a href=""https://github.com/aquasecurity/trivy"">Trivy</a></strong>, a vulnerability scanner for containers, because it's easier to set up than other tools,  thanks to it shipping as a stand-alone binary. Other benefits of Trivy are that it's open-source software and that it supports <a href=""https://www.thoughtworks.com/radar/techniques/distroless-docker-images"">distroless containers</a>.</p>"
Twistlock,Tools,Trial,TRUE,"<p><strong><a href=""https://www.twistlock.com/"">Twistlock</a></strong> is a commercial product with build-time and run-time security vulnerability detection and prevention capabilities. These capabilities span protecting VMs, container schedulers and containers to various registries and repositories that applications rely on. Twistlock has helped our teams accelerate development of regulated applications, where application infrastructure and architecture require compliance with, for example, Payment Card Industry (PCI) standards and the Health Insurance Portability and Accountability Act (HIPAA). Our teams have enjoyed the developer experience that Twistlock provides: the ability to run provisioning as code, the easy integration with other common observability platforms, and the out-of-the-box benchmarks to measure the infrastructure against industry-consensus best practices. We run Twistlock with regular runtime scans over our cloud-native applications, particularly when regulatory compliance is required.</p>"
Yocto Project,Tools,Trial,TRUE,"<p>Increasingly we're seeing powerful Internet of Things devices that run Linux rather than a special embedded OS. In order to reduce resource usage and decrease the attack surface, it makes sense to build a custom Linux distribution that only contains the tools and dependencies needed to run the software on the device. In this context the <strong><a href=""https://www.yoctoproject.org/"">Yocto Project</a></strong> has renewed relevance as a tool to create a Linux distribution tailored to the needs of a specific case. The learning curve is steep and due to its flexibility, it can be easy to do the wrong thing. However, over the many years of its existence, the Yocto Project has attracted an active community that can help. Compared to similar tools, it's easier to integrate into a CD workflow and, unlike Android Things or Ubuntu core for example, it's not tied to a specific ecosystem.</p>"
Aplas,Tools,Assess,TRUE,"<p>It's often very difficult to get a handle on our software estates as they grow ever more complex. <strong><a href=""https://aplas.com/public"">Aplas</a></strong> is a new software mapping tool that can be used to create visualizations of our software landscapes in the form of maps. The tool works by ingesting metadata about your existing systems and then displaying a map over which various views can be projected. Ingestion is either a manual process or one that can be automated via APIs. We're pretty excited to see this product evolve and to see what's possible with the automated collection of metadata. It should be possible, for example, to expose <a href=""https://www.thoughtworks.com/radar/techniques/architectural-fitness-function"">architectural fitness functions</a> such as <a href=""https://www.thoughtworks.com/radar/techniques/run-cost-as-architecture-fitness-function"">run cost</a> to create visualizations of how much is being spent on cloud infrastructure. Understanding which systems talk to other systems via which technology is another problem we often face and Aplas can visualize it for us.</p>"
asdf-vm,Tools,Assess,TRUE,"<p><strong><a href=""https://asdf-vm.com"">asdf-vm</a></strong> is a command-line tool to manage runtime versions of multiple languages, per project. It's similar to other command-line version management tools, such as <a href=""https://rvm.io/"">RVM</a> for Ruby and <a href=""https://github.com/nvm-sh/nvm"">nvm</a> for Node.js, with the advantage of an extensible plugin architecture to handle multiple languages. Its list of current <a href=""https://asdf-vm.com/#/plugins-all"">plugins</a> include many languages as well as tools such as <a href=""https://github.com/rajatvig/asdf-bazel"">Bazel</a> or <a href=""https://github.com/RykHawthorn/asdf-tflint"">tflint</a>, whose runtime version you may need to manage per project.</p>"
AWSume,Tools,Assess,TRUE,"<p><strong><a href=""https://github.com/trek10inc/awsume"">AWSume</a></strong> is a convenient script to manage AWS session tokens and assume role credentials from the command line. We find AWSume quite handy when we deal with multiple AWS accounts at the same time. Instead of specifying profiles individually in every command, the script reads from the CLI cache and exports them to environment variables. As a result, both the commands and AWS SDKs pick up the right credentials.</p>"
dbt,Tools,Assess,TRUE,"<p>Data transformation is an essential part of data-processing workflows: filtering, grouping or joining multiple sources into a format that is suitable for analyzing data or feeding machine-learning models. <strong><a href=""https://www.getdbt.com"">dbt</a></strong> is an open-source tool and a commercial SaaS product that provides simple and effective transformation capabilities for data analysts. The current frameworks and tooling for data transformation fall either into the group of <em>powerful and flexible</em> — requiring intimate understanding of the programming model and languages of the framework such as <a href=""https://www.thoughtworks.com/radar/platforms/apache-spark"">Apache Spark</a> — or in the group of dumb drag-and-drop UI tools that don't lend themselves to reliable engineering practices such as automated testing and deployment. dbt fills a niche: it uses SQL — an interface widely understood — to model simple batch transformations, while it provides command-line tooling that encourages good engineering practices such as versioning, automated testing and deployment; essentially it implements SQL-based transformation modeling as code. dbt currently supports multiple <a href=""https://docs.getdbt.com/docs/supported-databases"">data sources</a>, including <a href=""https://www.thoughtworks.com/radar/platforms/snowflake"">Snowflake</a> and Postgres, and provides various <a href=""https://docs.getdbt.com/docs/running-dbt-in-production"">execution options</a>, such as <a href=""https://www.thoughtworks.com/radar/tools/airflow"">Airflow</a> and Apache's own cloud offering. Its transformation capability is limited to what SQL offers, and it doesn't support real-time streaming transformations at the time of writing.</p>"
Docker Notary,Tools,Assess,TRUE,"<p><strong><a href=""https://docs.docker.com/notary/"">Docker Notary</a></strong> is an OSS tool that enables signing of assets such as images, files and containers. This means that the provenance of assets can be asserted which is superuseful in regulated environments and better practice everywhere. As an example, when a container is created, it's signed by a private key and a hash, tied to the publisher's identity, stored as metadata. Once published, the provenance of the container (or other asset) can be checked using the image hash and the publisher's public key. There are publicly available, trusted registries such as the <a href=""https://docs.docker.com/ee/dtr/"">Docker Trusted Registry</a>, but it's also possible to run your own. Our teams have reported some spiky edges running local Notary servers and suggest using a registry that includes Notary where possible.</p>"
Facets,Tools,Assess,TRUE,"<p>Given the growing amount of weighty decisions that are derived from large data sets, either directly or as training input for machine learning models, it's important to understand the gaps, flaws and potential biases in your data. Google's <strong><a href=""https://pair-code.github.io/facets/"">Facets</a></strong> project provides two helpful tools in this space: Facets Overview and Facets Dive. Facets Overview visualizes the distribution of values for features in a data set, can show training and validation set skew and can be used to compare multiple data sets; Facets Dive is for drilling down and visualizing individual data points in large data sets, using different visual dimensions to explore the relationships between attributes. They're both useful tools in carrying out <a href=""https://www.thoughtworks.com/radar/techniques/ethical-bias-testing"">ethical bias testing</a>.</p>"
Falco,Tools,Assess,TRUE,"<p>With increased adoption of <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a> as container orchestrator, the security toolset around containers and Kubernetes is evolving rapidly. <strong><a href=""https://falco.org/"">Falco</a></strong> is one such container-native tool aimed at addressing runtime security. Falco leverages <a href=""https://sysdig.com/blog/fascinating-world-linux-system-calls/"">Sysdig's Linux kernel instrumentation</a> and system call profiling and lets us gain deep insights into system behavior and helps us detect abnormal activities in applications, containers, underlying host or Kubernetes orchestrator itself. We like Falco's capability to detect threats without injecting third-party code or sidecar containers.</p>"
in-toto,Tools,Assess,TRUE,"<p>We're seeing increased use of <a href=""https://www.thoughtworks.com/radar/techniques/binary-attestation"">Binary attestation</a> for securing the software supply chain, particularly within regulated industries. The currently favored approaches seem to involve either building a custom system for implementing the binary verification or relying on a cloud vendor's service. We're encouraged to see the open-source <strong><a href=""https://github.com/in-toto/in-toto"">in-toto</a></strong> enter this space. in-toto is a framework for cryptographically verifying every component and step along the path to production for a software artifact. The project includes a number of integrations into many widely used build, container auditing and deployment tools. A software supply chain tool can be a critical piece of an organization's security apparatus, so we like that as an open-source project, in-toto's behavior is transparent, and its own integrity and supply chain can be verified by the community. We'll have to wait and see if it'll gain a critical mass of users and contributors to compete in this space.</p>"
Kubeflow,Tools,Assess,TRUE,"<p><strong><a href=""https://www.kubeflow.org/"">Kubeflow</a></strong> is interesting for two reasons. First, it is an innovative use of <a href=""https://www.thoughtworks.com/radar/tools/kubernetes-operators"">Kubernetes Operators</a> which we've spotlighted in our April 2019 edition of the Radar. Second, it provides a way to encode and version machine-learning workflows so that they can be more easily ported from one execution environment to another. Kubeflow consists of several components, including Jupyter notebooks, data pipelines, and control tools. Several of these components are packaged as Kubernetes operators to draw on Kubernetes's ability to react to events generated by pods implementing various stages of the workflow. By packaging the individual programs and data as containers, entire workflows can be ported from one environment to another. This can be useful when moving a useful but computationally challenging workflow developed in the cloud to a custom supercomputer or tensor processing unit cluster.</p>"
MemGuard,Tools,Assess,TRUE,"<p>If your application handles sensitive information (such as cryptographic keys) as plain text in memory, there's a high probability that someone could potentially exploit it as an attack vector and compromise the information. Most of the cloud-based solutions often use <a href=""https://en.wikipedia.org/wiki/Hardware_security_module"">hardware security modules (HSM)</a> to avoid such attacks. However, if you're in a situation where you need to do this in a self-hosted manner without access to HSMs, then we've found <strong><a href=""https://github.com/awnumar/memguard"">MemGuard</a></strong> to be quite useful. MemGuard acts as a secured software enclave for storage of sensitive information in memory. Although MemGuard is not a replacement for HSMs, it does deploy a number of security tactics such as protection against cold boot attacks, avoiding interference with garbage collection and fortifying with guard pages to reduce the likelihood of sensitive data being exposed.</p>"
Open Policy Agent (OPA),Tools,Assess,TRUE,"<p>Defining and enforcing security policies uniformly across a diverse technology landscape is a challenge. Even for simple applications, you have to control access to their components — such as container orchestrators, services and data stores to keep the services' state — using their components' built-in security policy configuration and enforcement mechanisms.</p>

<p>We're excited about <strong><a href=""https://www.openpolicyagent.org/"">Open Policy Agent (OPA)</a></strong>, an open-source technology that attempts to solve this problem. OPA lets you define fine-grained access control and flexible policies as code, using the <a href=""https://www.openpolicyagent.org/docs/latest/policy-language/"">Rego</a> policy definition language. Rego enforces the policies in a distributed and unobtrusive manner outside of the application code. At the time of this writing, OPA implements uniform and flexible policy definition and enforcement to secure access to Kubernetes APIs, microservices APIs through <a href=""https://www.envoyproxy.io/"">Envoy</a> sidecar and <a href=""https://www.thoughtworks.com/radar/tools/apache-kafka"">Kafka</a>. It can also be used as a sidecar to any service to verify access policies or filter response data. <a href=""https://www.styra.com/"">Styra</a>, the company behind OPA, provides commercial solutions for centralized visibility to distributed policies. We like to see OPA mature through the <a href=""https://www.cncf.io/blog/2019/04/02/toc-votes-to-move-opa-into-cncf-incubator/"">CNCF incubation program</a> and continue to build support for more challenging policy enforcement scenarios such as diverse data stores.</p>"
Pumba,Tools,Assess,TRUE,"<p><strong><a href=""https://github.com/alexei-led/pumba"">Pumba</a></strong> is a chaos testing and network emulation tool for Docker. Pumba can kill, stop, remove or pause Docker containers. Pumba can also emulate networks and simulate different network failures such as delays, packet loss and bandwidth rate limits. Pumba uses the <a href=""https://en.wikipedia.org/wiki/Tc_(Linux)"">tc</a> tool for network emulation which means it needs to be available in our containers or we need to run Pumba in a sidecar container with tc. Pumba is particularly useful when we want to run some automated chaos tests against a distributed system running on a bunch of containers locally or in the build pipeline.</p>"
Skaffold,Tools,Assess,TRUE,"<p>Google brings us <strong><a href=""https://skaffold.dev/"">Skaffold</a></strong>, an open-source tool to automate local development workflows, including deployment on <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a>. Skaffold detects changes in source code and triggers workflows to build, tag and deploy into a K8s cluster including capturing application logs back to the command line. The workflows are pluggable with different build and deployment tools, but this comes with an opinionated default configuration to make it easier to get started.</p>"
What-If Tool,Tools,Assess,TRUE,"<p>The machine learning world has shifted emphasis slightly from exploring what models are capable of understanding to how they do it. Concerns about introducing bias or overgeneralizing a model's applicability have resulted in interesting new tools such as <strong><a href=""https://pair-code.github.io/what-if-tool/"">What-If Tool</a></strong> (WIT). This tool helps data scientists to dig into a model's behavior and to visualize the impact various features and data sets have on the output. Introduced by Google and available either through <a href=""https://www.tensorflow.org/tensorboard"">Tensorboard</a> or <a href=""https://www.thoughtworks.com/radar/tools/jupyter"">Jupyter</a> notebooks, WIT simplifies the tasks of comparing models, slicing data sets, visualizing facets and editing individual data points. Although WIT makes it easier to perform these analyses, they still require a deep understanding of the mathematics and theory behind the models. It is a tool for data scientists to gain deeper insights into model behavior. Naive users shouldn't expect any tool to remove the risk or minimize the damage done by a misapplied or poorly trained algorithm.</p>"
Azure Data Factory for orchestration,Tools,Hold,TRUE,"<p><a href=""https://azure.microsoft.com/en-us/services/data-factory/"">Azure Data Factory</a> (ADF) is currently Azure's default product for orchestrating data-processing pipelines. It supports data ingestion, copying data from and to different storage types on prem or on Azure and executing transformation logic. While we've had a reasonable experience with ADF for simple migrations of data stores from on prem to cloud, we discourage the use of <strong>Azure Data Factory for orchestration</strong> of complex data-processing pipelines. Our experience has been challenging due to several factors, including limited coverage of capabilities that can be implemented through coding first, as it appears that ADF is prioritizing enabling <a href=""https://www.thoughtworks.com/radar/platforms/low-code-platforms"">low-code platform</a> capabilities first; poor debuggability and error reporting; limited observability as ADF logging capabilities don't integrate with other products such as Azure Data Lake Storage or Databricks, making it difficult to get an end-to-end observability in place; and availability of data source-triggering mechanisms only to certain regions. At this time, we encourage using other open-source orchestration tools (e.g., <a href=""https://www.thoughtworks.com/radar/tools/airflow"">Airflow</a>) for complex data pipelines and limit ADF for data copying or snapshotting. We're hoping that ADF will address these concerns to support for more complex data-processing workflows and prioritize access to capabilities through code first.</p>"
Arrow,languages-and-frameworks,Trial,TRUE,"<p><strong><a href=""https://arrow-kt.io/"">Arrow</a></strong> is a functional programming library for <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/kotlin"">Kotlin</a>, created by merging two existing popular libraries (<a href=""https://github.com/JcMinarro/kategory"">kategory</a> and <a href=""https://github.com/MarioAriasC/funKTionale"">funKTionale</a>). While Kotlin provides building blocks for functional programming, Arrow delivers a package of ready-to-use higher-level abstractions for application developers. It provides data types, type classes, effects, optics and other functional programming patterns as well as integrations with popular libraries. Our initial positive impressions of Arrow were confirmed when using it to build applications that are now in production.</p>"
Flutter,languages-and-frameworks,Trial,TRUE,"<p>Several of our teams use <strong><a href=""http://flutter.io/"">Flutter</a></strong> and really like it. It's a cross-platform framework that enables you to write native mobile apps in <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/google-dart"">Dart</a>. It benefits from Dart and can be compiled into native code and communicates with the target platform without bridge and context switching. Flutter's hot-reload feature is still impressive and provides superfast visual feedback when editing code. We're confident in recommending that you try Flutter on one of your projects.</p>"
jest-when,languages-and-frameworks,Trial,TRUE,"<p><strong><a href=""https://www.npmjs.com/package/jest-when"">jest-when</a></strong> is a lightweight JavaScript library that complements <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/jest"">Jest</a> by matching mock function call arguments. Jest is a great tool for testing the stack; jest-when allows you to expect specific arguments for mock functions and thus lets you write more robust unit tests of modules with many dependencies.</p>"
Micronaut,languages-and-frameworks,Trial,TRUE,"<p><strong><a href=""https://micronaut.io/"">Micronaut</a></strong> is a JVM framework for building services using Java, <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/kotlin"">Kotlin</a> or Groovy. It distinguishes itself through a small memory footprint and short startup time; it achieves these improvements by avoiding runtime reflection for <a href=""https://martinfowler.com/articles/injection.html"">dependency injection (DI)</a> and proxy generation, a common shortcoming of traditional frameworks, and instead uses a DI/<a href=""https://en.wikipedia.org/wiki/Aspect-oriented_programming"">AOP</a> container which performs dependency injection at compile time. This makes it attractive not just for standard server-side microservices but also in the context of, for example, the Internet of Things, Android applications and serverless functions. Micronaut uses Netty and has first-class support for reactive programming. It also includes features such as service discovery and circuit breaking that make it cloud-native friendly. Micronaut is a very promising entrant to the full-stack framework for the JVM space, and we're seeing it in more and more projects in production, prompting us to move it to Trial.</p>"
React Hooks,languages-and-frameworks,Trial,TRUE,"<p>Earlier this year, <strong><a href=""https://reactjs.org/docs/hooks-intro.html"">React Hooks</a></strong> were introduced to the popular JavaScript framework. They make it possible to use state and other React features without writing a class, offering a cleaner approach than higher-order components or render-props for use cases. Libraries such as <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/material-ui"">Material UI</a> and <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/apollo"">Apollo</a> have already switched to using Hooks. There are some issues with testing Hooks, especially with Enzyme, which contributed to our reassessment of <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/enzyme"">Enzyme</a> as the tool of choice.</p>"
React Testing Library,languages-and-frameworks,Trial,TRUE,"<p>The JavaScript world moves pretty fast, and as we gain more experience using a framework our recommendations change. The <strong><a href=""https://testing-library.com/"">React Testing Library</a></strong> is a good example of a framework that with deeper usage has eclipsed the alternatives to become the sensible default when testing React-based frontends. Our teams like the fact that tests written with this framework are less brittle than with alternative frameworks such as <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/enzyme"">Enzyme</a> because you're encouraged to test component relationships individually as opposed to testing all implementation details.</p>"
Styled components,languages-and-frameworks,Trial,TRUE,"<p>Using tagged template literals <strong><a href=""https://www.styled-components.com/"">styled components</a></strong> make it possible to put the CSS needed to style a React component directly into the JavaScript code that creates the component. This greatly reduces the pain with managing CSS and obviates the need for naming conventions or other means of avoiding naming conflicts in CSS. Developers can see the styling when looking at the component definition, and they don't have to memorize several megabytes worth of CSS. Of course, placing the CSS into the JavaScript code can make it harder to get a consistent view across the styling of different components, which is why we recommend understanding the trade-offs with this approach.</p>"
Tensorflow,languages-and-frameworks,Trial,TRUE,"<p>With its 2.0 release, <strong><a href=""https://www.tensorflow.org/"">TensorFlow</a></strong> retains its prominence as the industry’s leading machine learning framework. TensorFlow began as a numerical processing package that gradually expanded to include libraries supporting a variety of ML approaches and execution environments, ranging from mobile CPU to large GPU clusters. Along the way, a slew of frameworks became available to simplify the tasks of network creation and training. At the same time, other frameworks, notably <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/pytorch"">PyTorch</a>, offered an imperative programming model that made debugging and execution simpler and easier. TensorFlow 2.0 now defaults to imperative flow (eager execution) and adopts <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/keras"">Keras</a> as the single high-level API. While these changes modernize TensorFlow's usability and make it more competitive with PyTorch, it is a significant rewrite that often breaks backward compatibility — many tools and serving frameworks in the TensorFlow ecosystem won't immediately work with the new version. For the time being, consider whether you want to design and experiment in TensorFlow 2.0 but revert to version 1 to serve and run your models in production.</p>"
